A2;30;I always __________ my bed after I get up in the morning;make
A2;30;A new series is presented on __________.;TV
A2;30;My mom and dad are __________. They don't live together anymore;separated
A2;30;I have three __________, 2 brothers and one sister;siblings
A2;30;This is my personal __________, you can find my contact information there;card
A2;31;My birthday is  __________ September;in
A2;31;I need to take some __________ from the library.;books
A2;31;In his band, Jack __________ the guitar;plays
A2;31;There's a big window __________ my room and the hall;between
A2;31;You are not __________ to my party. Get out!;invited
A2;32; __________ your name in the list.;write
A2;32;To watch 3D films, you need some special __________.;glasses
A2;32;Do not cross the street when the light is __________.;red
A2;32;Sorry, I see you have a __________, could you please give me the hour?;watch
A2;32;The __________ lives in the White House;president
A2;33;Take your __________! We're going to the pool!;swimsuit
A2;33;My final __________ of the semester was a five.;grade
A2;33;I guess I need to __________ my hair;cut
A2;33;I want to be a __________ to fly airplanes and travel around the world;pilot
A2;33;Don't forget to use __________ to protect against sunburn;sunscreen
A2;34;Please,  __________ the door when you are leaving;close
A2;34;Paris is the __________ of France;capital
A2;34;Your baby has __________ a lot since the last time I came. He looks really tall;grown
A2;34;The new TV has some interesting and original __________.;features
A2;34;It is summer in the north while it is  __________ in the south;winter
A2;35;Her __________ was in New York in August 2010;birthplace
A2;35;He is __________, he has not hair;bald
A2;35;To go to the last floor, we suggest you take the __________ instead of the stairs;elevator
A2;35;My family always does the __________ on weekends with the washing machine;laundry
A2;35;This room is really hot, is it ok if I __________ the window;open
A2+;36;We just need a __________, we're so tired;break
A2+;36;Could you please take the garbage __________?;out
A2+;36;Your name is difficult to write down. Can you __________ spell it, please?;spell
A2+;36;Is it ok if I call you __________ noon?;at
A2+;36;Let me __________ our new colleague, he is going to work in the marketing area;introduce
A2+;37;Our neighbor has too many __________ that it looks like a zoo;pets
A2+;37;That girl broke his __________ when she cheated on him;heart
A2+;37;The __________ spins around the Sun;Earth
A2+;37;There's a coffee shop just __________ the corner;around
A2+;37;I have some good __________ for you. My sister is getting married!;news
A2+;38;I guess I need a bigger room because this is too __________.;small
A2+;38;The mount Everest is the __________ mountain in the world;highest
A2+;38;My __________ is not working. I can't type anything!;keyboard
A2+;38;How __________ do you clean your house?;often
A2+;38;I just need a __________ to sweep the floor;broom
A2+;39;Can I see your __________? I need to confirm your identity;identification
A2+;39;I'm sorry but you can't use __________ in the exam, only pencils;pens
A2+;39;Are you the __________ of that band? I love your voice!;singer
A2+;39;Vegans are people that avoid eating things coming from __________.;animals
A2+;39;My grandfather always reads the __________ in the morning;newspaper
A2+;40;The doctor prescribed __________ for the rest of the week;medicine
A2+;40;I guess they are going to get __________ after they separated last year;divorced
A2+;40;Do you accept credit cards or  __________.;cash
A2+;40;They are __________ sisters, they just look the same;twin
A2+;40;I love __________ to music when I'm working;listening
A2+;41;Sorry, but there isn't __________ I can do for you;anything
A2+;41;Could you __________ the bathroom? The mop is in the kitchen;mop
