A2,30,1,The game is at midnight
A2,30,2,Carl's daughter is really beautiful
A2,30,3,This suit is very expensive
A2,30,4,The party starts at noon
A2,30,5,I work in a hospital
A2,31,1,That sweater looks really warm
A2,31,2,His father is so tall
A2,31,3,Her son can read Spanish books
A2,31,4,I have short brown hair
A2,31,5,My mother uses glasses
A2,32,1,My father reads his favorite newspaper
A2,32,2,I always hang out with my friends on weekends
A2,32,3,She sometimes makes dinner on weekend
A2,32,4,They like to visit their grandparents
A2,32,5,My son goes to school in the morning
A2,33,1,I can go to the museum if you want
A2,33,2,My cousin lives in a small apartment
A2,33,3,There is a concert next Monday
A2,33,4,The library is really nearby
A2,33,5,There are no banks in this city
A2,34,1,I really like to read drama books
A2,34,2,My son is in the baseball team
A2,34,3,Her father plays the piano in the orchestra
A2,34,4,I always visit museums with my wife
A2,34,5,My favorite kind of music is jazz
A2,35,1,The tickets are so expensive
A2,35,2,There is a lecture the day after tomorrow
A2,35,3,I have no more seat available
A2,35,4,This message is for Mr. Hawkings
A2,35,5,Do you have tickets for the cinema?
A2+,36,1,I don't agree with his opinion
A2+,36,2,I agree with your point of view
A2+,36,3,My son checks his e-mail in the morning
A2+,36,4,What's your point of view?
A2+,36,5,This is my favorite day of the week
A2+,37,1,There was a festival yesterday in the morning
A2+,37,2,The cat slept on the coach 
A2+,37,3,I needed to go to the library
A2+,37,4,My sister bought that nice car
A2+,37,5,Her mother made her bed after breakfast
A2+,38,1,Thanks for your quick reaction
A2+,38,2,This recipe has many interesting ingredients
A2+,38,3,I ate that delicious apple
A2+,38,4,The strong man came to help
A2+,38,5,I didn't want to interrupt
A2+,39,1,I made a reservation for this hotel
A2+,39,2,My family rented a car for the trip
A2+,39,3,Is there a table for four people?
A2+,39,4,We can shop in this department store
A2+,39,5,There were many festivals around the city
A2+,40,1,She's coming next Saturday to visit our parents
A2+,40,2,I'm glad to see you here
A2+,40,3,I would like to know the price of this house
A2+,40,4,Sara is going to go to the opera
A2+,40,5,My sons are planning a trip for summer
A2+,41,1,I'm so sorry but I have plans
A2+,41,2,I'd love to meet you there on Wednesday
A2+,41,3,It wasn't my day today
A2+,41,4,The doctor asked me to stay in bed
A2+,41,5,She's really tired because she worked a lot
A2+,42,1,You should go to the doctor
A2+,42,2,There are many doctors in this area
A2+,42,3,I'm really worried about your health
A2+,42,4,Do some exercise to avoid ailments
A2+,42,5,I guess you need a diet
B1,43,1,I saw an announcement in the newspaper
B1,43,2,Your name is not in the list
B1,43,3,My mother finally ended the book she bought
B1,43,4,My head hurts a lot
B1,43,5,I will return in November
B1,44,1,You will do a check after you finish this task
B1,44,2,I won't eat that disgusting dish
B1,44,3,Let me tell you it sounds terrific
B1,44,4,I'm really amazed about this journey
B1,44,5,There were many things to do and no time
B1,45,1,You can work on the second Sunday
B1,45,2,What if I take the train next week?
B1,45,3,They are eating salad for breakfast
B1,45,4,It is a sunny day today
B1,45,5,I'm looking for a flat in this town
B1,46,1,My father has always come to this restaurant
B1,46,2,That cellphone is really convenient
B1,46,3,Those films have been interesting
B1,46,4,I think I got the solution
B1,46,5,The teacher didn't agree with his opinion
B1,47,1,That was the first thing to do
B1,47,2,My students were really honest
B1,47,3,Your work uses modern technology
B1,47,4,What do you prefer?
B1,47,5,The teacher was absent last week
B1,48,1,My grandparents got married fifty years ago
B1,48,2,I received an e-mail with political purposes
B1,48,3,She didn't mean to compare you
B1,48,4,I know that it is a difficult decision
B1,48,5,I let my son make his own decisions
B1,49,1,I suppose that I have to wait
B1,49,2,Let's not go to the gym
B1,49,3,What about pasta for dinner?
B1,49,4,This has been a really boring podcast
B1,49,5,Either you take the test or you fail the course
B1,50,1,We won't be able to attend to the wedding
B1,50,2,She was doing the exam while I looked after her
B1,50,3,The car didn't stop when he tried to slow down
B1,50,4,Pop music was created twenty years ago
B1,50,5,The water has just boiled
B1+,51,1,"If I were you, I would apply for the job"
B1+,51,2,Would you please tell me more about the course?
B1+,51,3,It's so dangerous that I don't want to go there
B1+,51,4,"If I had had more time, I would have told you more"
B1+,51,5,I haven't heard much about that
B1+,52,1,I have just been told about the problem
B1+,52,2,Wasn't he describing the book?
B1+,52,3,You are not allowed to stay here
B1+,52,4,The movie might have been recorded in winter
B1+,52,5,They would rather watch a film than read a book
B1+,53,1,You could simply cover that mistake up
B1+,53,2,"The bigger the book is, the longer it will take"
B1+,53,3,They must have confirmed their attendance
B1+,53,4,I wasn't told how to come here
B1+,53,5,That was the longest essay ever
B1+,54,1,"Even if he had shown a slide, I couldn't have understood"
B1+,54,2,The lawyer couldn't have testified at the end
B1+,54,3,They were thinking of posting a new lecture
B1+,54,4,Would you do me the honor to come?
B1+,54,5,It was impossible for me to arrive earlier
B1+,55,1,Would you stay here if I ask you?
B1+,55,2,I can't buy anything unless I could withdraw money
B1+,55,3,My tutor was about to promote a new book
B1+,55,4,She preferred to fix it by her own
B1+,55,5,It is intended to be seen by teenagers
B1+,56,1,"However, you'd better not to be late"
B1+,56,2,"He won the elections, therefore, he will be the major"
B1+,56,3,It was just in case they needed attention
B1+,56,4,"Despite personal problems, the goal was reached"
B1+,56,5,I didn't want to hurt you
B1+,57,1,I wonder what he proved
B1+,57,2,Due to his economic problems
B1+,57,3,They thought it lasted longer
B1+,57,4,Just imagine how he might have disappeared
B1+,57,5,They were expected to show up
B1+,58,1,I shouldn't have bought that gadget
B1+,58,2,She seems to be older than her
B1+,58,3,My family was going to travel next fall
B1+,58,4,I definitely do not think so
B1+,58,5,The police officer seems to charge that guy
B2,59,1,"For instance, that device is not popular"
B2,59,2,What concerns me is the evolution of the chart
B2,59,3,"If it were real, it would be worldwide recognized"
B2,59,4,The chef didn't warm the pasta up
B2,59,5,It's likely to be convenient
B2,60,1,It is forbidden to take photos in this place
B2,60,2,It's worth it to take a look at it
B2,60,3,"While they were landing, their families were in the gate"
B2,60,4,He got a promotion whereas he was working there
B2,60,5,In order not to raise the budget
B2,61,1,What's your opinion of this situation?
B2,61,2,I do consider it seems dangerous
B2,61,3,There's lack of comprehension in this homework
B2,61,4,There's no doubt about your contribution
B2,61,5,It was considered when necessary
B2,62,1,I heard that it varies according to the population
B2,62,2,They wished they hadn't been stolen
B2,62,3,I sent the final report as soon as I ended
B2,62,4,He ought to ask for permission
B2,62,5,It happened as soon as I had gotten here
B2,63,1,They had never been here before 
B2,63,2,The aisle seat was more comfortable
B2,63,3,The journalist reported plenty of details
B2,63,4,Why don't you go straight forward to the point?
B2,63,5,My boss hasn't given us a break
B2,64,1,It's going to take me ten years to finish this
B2,64,2,I felt it was a total rip off
B2,64,3,"Ten years ago, she hadn't been forgotten for her actions"
B2,64,4,I found it hard getting used to not studying anymore
B2,64,5,They are charging me an arm and a leg
B2,65,1,It needed a greater effort for me to read
B2,65,2,The company will get his employees paid soon
B2,65,3,Our grandmother will get admitted to the nursing home
B2,65,4,"Furthermore, we have come back with many memories"
B2,65,5,Don't be mad at me
B2,66,1,As far as I am aware
B2,66,2,Do you know what I'm saying?
B2,66,3,"I'm sorry to disappoint you, but it is not possible at the moment"
B2,66,4,There's nothing to worry about
B2,66,5,You will have better luck next time
B2+,67,1,The newspaper went too far in publishing personal data
B2+,67,2,I couldn't agree more with that assumption
B2+,67,3,It has to be seen to be believed
B2+,67,4,I found it incredible that he had failed the test
B2+,67,5,I just wanted that she had had more time to tell us more.
B2+,68,1,May I remind you that it is prohibited to use cellphones?
B2+,68,2,There is a remote chance of success
B2+,68,3,We really regret not enrolling to the course
B2+,68,4,"I hate to tell you this, but that is not true"
B2+,68,5,It's been a while since the last time we met
B2+,69,1,Please accept my sincerest apologies 
B2+,69,2,The president came to think of it
B2+,69,3,I don't know what I'd have done without you
