A2,30,1,He checks his email everyday,
A2,30,2,Their son practices soccer in the park,
A2,30,3,That dress is really long,
A2,30,4,My birthday is next Monday,
A2,30,5,I study English on the weekends,
A2,31,1,Your shirt is very tight,
A2,31,2,My mother has green eyes,
A2,31,3,Their son is really tall,
A2,31,4,Those pants are really wild,
A2,31,5,Susan can swim in the river,
A2,32,1,I always go to the club at night,
A2,32,2,My grandson comes home every weekend,
A2,32,3,I don't like to go to parties with my family,
A2,32,4,She sometimes reads a magazine,
A2,32,5,This dog enjoys to play in the house,
A2,33,1,The play is in New York next month,
A2,33,2,My teacher goes to the library everyday,
A2,33,3,The museum is not really far away,
A2,33,4,There is a party in my house,
A2,33,5,I live with my parents in a flat,
A2,34,1,I really enjoy reading fiction books,
A2,34,2,My daughter plays videogames with her friends,
A2,34,3,There are many restaurants in this town,
A2,34,4,My father wants to go to a concert,
A2,34,5,The park is around the corner on the left,
A2,35,1,Come to the office tomorrow morning,
A2,35,2,The ticket for the concert is cheap,
A2,35,3,There is a lecture this afternoon,
A2,35,4,His friends doesn't want to come,
A2,35,5,Give this message to your tutor,
A2+,36,1,His opinion is not really correct,
A2+,36,2,I totally agree to what he says,
A2+,36,3,This milk doesn't taste very well,
A2+,36,4,Leave your comments to the end of the presentation,
A2+,36,5,You almost never agree with me,
A2+,37,1,The dog ran in the park,
A2+,37,2,I opened the window in the morning,
A2+,37,3,Come to visit my family,
A2+,37,4,The weather was really sunny yesterday,
A2+,37,5,I went to school really early,
A2+,38,1,The play was really boring.,
A2+,38,2,I went to the opera with my couple,
A2+,38,3,That concert was really short,
A2+,38,4,I want to apologize for my reaction,
A2+,38,5,That man was in the reception,
A2+,39,1,There were many cars around the restaurant,
A2+,39,2,I made a reservation for this hotel.,
A2+,39,3,I would like a table in this restaurant,
A2+,39,4,I bought a bus ticket last weekend,
A2+,39,5,She arrived this morning to the hotel,
A2+,40,1,There are many things to do in summer,
A2+,40,2,I can't see without my glasses,
A2+,40,3,My sister would like to get married,
A2+,40,4,She plans to travel to Europe,
A2+,40,5,My father will return from his trip,
A2+,41,1,We have many homework to do for this subject,
A2+,41,2,I am studying a master degree,
A2+,41,3,Do you know the address?,
A2+,41,4,I can't work today.,
A2+,41,5,I should take a pill for this headache,
A2+,42,1,They go running to the park everyday,
A2+,42,2,They shouldn't go to work today,
A2+,42,3,It's really unhealthy to eat fast food,
A2+,42,4,I have a medical appointment right now,
A2+,42,5,Don't use public transportation,
B1,43,1,She decided to come here,
B1,43,2,They will take an airplane in London,
B1,43,3,My son finally got graduated from school,
B1,43,4,She will surely travel abroad,
B1,43,5,It is going to rain this afternoon,
B1,44,1,She is the best student in the class,
B1,44,2,He will catch a train in the station,
